,article_title,country,article_quality,revision_id,Population,region
69,Sayed Nasim Mihanparast,Afghanistan,Stub,1172646418.0,42.4,SOUTH ASIA
70,Suhail Shaheen,Afghanistan,Start,1198363158.0,42.4,SOUTH ASIA
71,Fazal Hadi Shinwari,Afghanistan,GA,1242412237.0,42.4,SOUTH ASIA
72,Baktash Siawash,Afghanistan,Stub,1250972393.0,42.4,SOUTH ASIA
73,Hasan Ali Sultani,Afghanistan,Stub,1136614726.0,42.4,SOUTH ASIA
74,Mohammad Hashem Taufiqui,Afghanistan,Start,1233490009.0,42.4,SOUTH ASIA
75,Pacha Gul Wafadar,Afghanistan,Stub,1227179979.0,42.4,SOUTH ASIA
76,Wahidullah Waissi,Afghanistan,C,1232389768.0,42.4,SOUTH ASIA
77,Ahmadullah Wasiq,Afghanistan,Start,1171042170.0,42.4,SOUTH ASIA
78,Gul Ahmmad Yama,Afghanistan,Start,1136614561.0,42.4,SOUTH ASIA
79,Abdul Salam Zaeef,Afghanistan,GA,1243758857.0,42.4,SOUTH ASIA
80,Abdul Zahir (Konar Education Minister),Afghanistan,Stub,1126667481.0,42.4,SOUTH ASIA
81,Mohammed Zaman,Afghanistan,Start,1229734414.0,42.4,SOUTH ASIA
82,Ziauddin (Afghan militia leader),Afghanistan,Start,1150044800.0,42.4,SOUTH ASIA
83,Qari Ziauddin,Afghanistan,Start,1245217124.0,42.4,SOUTH ASIA
84,Abdul Ghafor Zori,Afghanistan,Stub,1136614520.0,42.4,SOUTH ASIA
85,Ali Pasha of Gusinje,Albania,GA,1244421894.0,2.7,SOUTHERN EUROPE
86,Ylli Asllani,Albania,Start,1221605713.0,2.7,SOUTHERN EUROPE
87,Azis Tahir Ajdonati,Albania,Stub,1192928746.0,2.7,SOUTHERN EUROPE
88,Bislim Bajgora,Albania,C,1217284690.0,2.7,SOUTHERN EUROPE
89,Kastriot Berissa,Albania,Start,1244463139.0,2.7,SOUTHERN EUROPE
90,Bardhok Biba,Albania,C,1250227174.0,2.7,SOUTHERN EUROPE
91,Kostandin Boshnjaku,Albania,C,1250227994.0,2.7,SOUTHERN EUROPE
92,Spartak Braho,Albania,Start,1224650124.0,2.7,SOUTHERN EUROPE
93,Safet Butka,Albania,C,1189442848.0,2.7,SOUTHERN EUROPE
94,Uran Butka,Albania,Start,1196422551.0,2.7,SOUTHERN EUROPE
95,Refo Çapari,Albania,Start,1222381064.0,2.7,SOUTHERN EUROPE
96,Neritan Ceka,Albania,Start,1184807608.0,2.7,SOUTHERN EUROPE
97,Hysni Curri,Albania,Start,1198914812.0,2.7,SOUTHERN EUROPE
98,Ibrahim Dalliu,Albania,Start,1248264998.0,2.7,SOUTHERN EUROPE
99,Niazi Demi,Albania,Stub,1209346411.0,2.7,SOUTHERN EUROPE
100,Abdurrahman Dibra,Albania,Start,1244008227.0,2.7,SOUTHERN EUROPE
101,Bujar Dida,Albania,C,1222151681.0,2.7,SOUTHERN EUROPE
102,Ahmed Dino,Albania,Stub,1209165678.0,2.7,SOUTHERN EUROPE
103,Rasih Dino,Albania,Stub,1180949327.0,2.7,SOUTHERN EUROPE
104,Ferhat Bey Draga,Albania,C,1236738861.0,2.7,SOUTHERN EUROPE
105,Nexhip Draga,Albania,GA,1236738502.0,2.7,SOUTHERN EUROPE
106,Aqif Pasha Elbasani,Albania,GA,1243882903.0,2.7,SOUTHERN EUROPE
107,Abas Ermenji,Albania,Start,1240801210.0,2.7,SOUTHERN EUROPE
108,Qamil Musa Haxhi Feza,Albania,Stub,1198224146.0,2.7,SOUTHERN EUROPE
109,Themistokli Gërmenji,Albania,C,1241037317.0,2.7,SOUTHERN EUROPE
110,Sabri Godo,Albania,C,1230739582.0,2.7,SOUTHERN EUROPE
111,Mihal Grameno,Albania,C,1226635783.0,2.7,SOUTHERN EUROPE
112,Aćif Hadžiahmetović,Albania,GA,1229938943.0,2.7,SOUTHERN EUROPE
113,High Council of Regency,Albania,C,1245450388.0,2.7,SOUTHERN EUROPE
114,Kurt Agë Kadiu,Albania,Stub,1244486529.0,2.7,SOUTHERN EUROPE
115,Mehmed Kalakula,Albania,Stub,1145510350.0,2.7,SOUTHERN EUROPE
116,Alfred Karamuço,Albania,Stub,1098236555.0,2.7,SOUTHERN EUROPE
117,Ibrahim Karbunara,Albania,C,1235824719.0,2.7,SOUTHERN EUROPE
118,Ali Këlcyra,Albania,Start,1227369252.0,2.7,SOUTHERN EUROPE
119,Bajram Kelmendi,Albania,Start,1237006808.0,2.7,SOUTHERN EUROPE
120,Kristo Kirka,Albania,C,1237950375.0,2.7,SOUTHERN EUROPE
121,Elez Koçi,Albania,Start,1174010569.0,2.7,SOUTHERN EUROPE
122,Xhelal Koprëncka,Albania,Stub,1209148780.0,2.7,SOUTHERN EUROPE
123,Kryeziu family,Albania,Start,1236739222.0,2.7,SOUTHERN EUROPE
124,Artur Kuko,Albania,Stub,1112281132.0,2.7,SOUTHERN EUROPE
125,Xhavid Leskoviku,Albania,Start,1180950536.0,2.7,SOUTHERN EUROPE
126,Sabit Lulo,Albania,Stub,1180950488.0,2.7,SOUTHERN EUROPE
127,Gjon Markagjoni,Albania,C,1227760361.0,2.7,SOUTHERN EUROPE
128,Tefik Mborja,Albania,Start,1234673487.0,2.7,SOUTHERN EUROPE
129,Hysni Milloshi,Albania,Start,1218412314.0,2.7,SOUTHERN EUROPE
130,Musa Qazimi,Albania,GA,1235824584.0,2.7,SOUTHERN EUROPE
131,Mustafa Ndroqi,Albania,Stub,1198219291.0,2.7,SOUTHERN EUROPE
132,Behxhet Nepravishta,Albania,Stub,1180949734.0,2.7,SOUTHERN EUROPE
133,Adrian Neritani,Albania,Start,1196135017.0,2.7,SOUTHERN EUROPE
134,Sali Nivica,Albania,Start,1240539074.0,2.7,SOUTHERN EUROPE
135,Thoma Orologa,Albania,Start,1180949774.0,2.7,SOUTHERN EUROPE
136,Bedri Pejani,Albania,C,1220757655.0,2.7,SOUTHERN EUROPE
137,Kadri Prishtina,Albania,Start,1198167947.0,2.7,SOUTHERN EUROPE
138,Ymer Prizreni,Albania,Start,1215667416.0,2.7,SOUTHERN EUROPE
139,Avni Rustemi,Albania,Start,1229276965.0,2.7,SOUTHERN EUROPE
140,Chatin Sarachi,Albania,C,1141930406.0,2.7,SOUTHERN EUROPE
141,Nebi Sefa,Albania,Stub,1244486537.0,2.7,SOUTHERN EUROPE
142,Eduard Shalsi,Albania,Start,1173107489.0,2.7,SOUTHERN EUROPE
143,Ylli Vesel Shehu,Albania,Stub,1250811470.0,2.7,SOUTHERN EUROPE
144,Athanas Shundi,Albania,C,1220369492.0,2.7,SOUTHERN EUROPE
145,Xhelal Sveçla,Albania,Start,1217259369.0,2.7,SOUTHERN EUROPE
146,Mehmet Tahsini,Albania,Stub,1239924043.0,2.7,SOUTHERN EUROPE
147,Ibrahim Temo,Albania,GA,1228151428.0,2.7,SOUTHERN EUROPE
148,Afrim Tole,Albania,Stub,1241836925.0,2.7,SOUTHERN EUROPE
149,Syreja Vlora,Albania,Start,1186986269.0,2.7,SOUTHERN EUROPE
150,Visarion Xhuvani,Albania,C,1135323365.0,2.7,SOUTHERN EUROPE
151,Visar Ymeri,Albania,Stub,1248230838.0,2.7,SOUTHERN EUROPE
152,Abdyl Ypi,Albania,Stub,1220281072.0,2.7,SOUTHERN EUROPE
153,Xhezair Zaganjori,Albania,Start,1143896123.0,2.7,SOUTHERN EUROPE
154,Menduh Zavalani,Albania,FA,1235824554.0,2.7,SOUTHERN EUROPE
155,Abdelkader Zoukh,Algeria,Start,1250270534.0,46.8,NORTHERN AFRICA
156,Chaâbane Aït Abderrahim,Algeria,Start,1234096174.0,46.8,NORTHERN AFRICA
157,Ali Aoun,Algeria,Start,1214835889.0,46.8,NORTHERN AFRICA
