,article_title,country,article_quality,revision_id,Population,region
1029,Pedro Soares Muñoz,Brazil,Stub,1235664468.0,204.0,SOUTH AMERICA
1030,Paulo Nani,Brazil,Start,1242343796.0,204.0,SOUTH AMERICA
1031,Dora Nascimento,Brazil,Stub,1208121039.0,204.0,SOUTH AMERICA
1032,Carlos Neder,Brazil,Stub,1246065514.0,204.0,SOUTH AMERICA
1033,Domingos Gomes de Aguiar Neto,Brazil,Start,1178155220.0,204.0,SOUTH AMERICA
1034,"Manuel Luís Osório, Marquis of Erval",Brazil,C,1249279029.0,204.0,SOUTH AMERICA
1035,Hildebrando Pascoal,Brazil,Start,1088472912.0,204.0,SOUTH AMERICA
1036,Astrojildo Pereira,Brazil,Stub,1225818171.0,204.0,SOUTH AMERICA
1037,Joaquim Alvaro Pereira Leite,Brazil,Stub,1240167587.0,204.0,SOUTH AMERICA
1038,Francisco José Pinheiro,Brazil,Start,1221332843.0,204.0,SOUTH AMERICA
1039,Mario Pinotti,Brazil,C,1249739851.0,204.0,SOUTH AMERICA
1040,Henrique Pizzolato,Brazil,Start,1146046975.0,204.0,SOUTH AMERICA
1041,Plínio de Arruda Sampaio Jr.,Brazil,C,1246065571.0,204.0,SOUTH AMERICA
1042,Marcio Pochmann,Brazil,C,1227539038.0,204.0,SOUTH AMERICA
1043,Presidency of Castelo Branco,Brazil,GA,1247853934.0,204.0,SOUTH AMERICA
1044,Presidency of Eurico Gaspar Dutra,Brazil,GA,1240095314.0,204.0,SOUTH AMERICA
1045,Presidency of Fernando Henrique Cardoso,Brazil,FA,1247854957.0,204.0,SOUTH AMERICA
1046,Presidency of Itamar Franco,Brazil,C,1247855190.0,204.0,SOUTH AMERICA
1047,Presidency of Juscelino Kubitschek,Brazil,GA,1247853887.0,204.0,SOUTH AMERICA
1048,Irondi Pugliesi,Brazil,Stub,1226012000.0,204.0,SOUTH AMERICA
1049,Eusébio de Queirós,Brazil,C,1251079168.0,204.0,SOUTH AMERICA
1050,Marco Antonio Raupp,Brazil,Start,1240228814.0,204.0,SOUTH AMERICA
1051,Renan Contar,Brazil,C,1245624959.0,204.0,SOUTH AMERICA
1052,Robert Rey (plastic surgeon),Brazil,C,1249338218.0,204.0,SOUTH AMERICA
1053,José Richa,Brazil,Start,1248725167.0,204.0,SOUTH AMERICA
1054,Ary Rigo,Brazil,Stub,1232333312.0,204.0,SOUTH AMERICA
1055,Eduardo Rocha,Brazil,Start,1193380607.0,204.0,SOUTH AMERICA
1056,Betinho Rosado,Brazil,Stub,1246064759.0,204.0,SOUTH AMERICA
1057,Rosana Martinelli,Brazil,C,1230117539.0,204.0,SOUTH AMERICA
1058,Antônio Ricardo dos Santos,Brazil,Start,1184506048.0,204.0,SOUTH AMERICA
1059,Augusto Severo de Albuquerque Maranhão,Brazil,Stub,1168433608.0,204.0,SOUTH AMERICA
1060,"José Manuel da Silva, Baron of Tietê",Brazil,Stub,1239452174.0,204.0,SOUTH AMERICA
1061,Fabiano Silveira,Brazil,Start,1232432585.0,204.0,SOUTH AMERICA
1062,Vittorio Sorotiuk,Brazil,Start,1246065682.0,204.0,SOUTH AMERICA
1063,Jose de Sousa Campos,Brazil,Stub,1015210781.0,204.0,SOUTH AMERICA
1064,"Irineu Evangelista de Sousa, Viscount of Mauá",Brazil,C,1249997750.0,204.0,SOUTH AMERICA
1065,"João Cardoso de Meneses e Sousa, Baron of Paranapiacaba",Brazil,Start,1163771893.0,204.0,SOUTH AMERICA
1066,Aureliano Cândido Tavares Bastos,Brazil,Start,1246603749.0,204.0,SOUTH AMERICA
1067,Juarez Távora (general),Brazil,C,1243281944.0,204.0,SOUTH AMERICA
1068,"Antônio de Queirós Teles, Baron of Jundiaí",Brazil,Stub,1014343460.0,204.0,SOUTH AMERICA
1069,Nelson Trad Filho,Brazil,Start,1201215647.0,204.0,SOUTH AMERICA
1070,Evaristo da Veiga,Brazil,Stub,1149938942.0,204.0,SOUTH AMERICA
1071,Luís Viana Neto,Brazil,Start,1246449214.0,204.0,SOUTH AMERICA
1072,Augusto Ximeno de Villeroy,Brazil,Stub,1216910276.0,204.0,SOUTH AMERICA
1073,André Zacharow,Brazil,Stub,1188242249.0,204.0,SOUTH AMERICA
1074,Murilo Zauith,Brazil,Start,1191804969.0,204.0,SOUTH AMERICA
1075,Zeca do PT,Brazil,Start,1232505950.0,204.0,SOUTH AMERICA
1076,Aleksandar Alekov,Bulgaria,Start,1215311752.0,6.4,EASTERN EUROPE
1077,Anyu Angelov,Bulgaria,Start,1215311929.0,6.4,EASTERN EUROPE
1078,Atanas Zapryanov,Bulgaria,Stub,1241175591.0,6.4,EASTERN EUROPE
1079,Atanas Atanasov (politician born 1990),Bulgaria,Start,1236766093.0,6.4,EASTERN EUROPE
1080,Atanas Atanasov (politician),Bulgaria,C,1239086809.0,6.4,EASTERN EUROPE
1081,Hristo Atanassov,Bulgaria,Start,1215320743.0,6.4,EASTERN EUROPE
1082,Jonas Basanavičius,Bulgaria,FA,1238466176.0,6.4,EASTERN EUROPE
1083,Tsvetko Boboshevski,Bulgaria,Stub,1222513400.0,6.4,EASTERN EUROPE
1084,Alexander Bogoridi,Bulgaria,Start,1242153001.0,6.4,EASTERN EUROPE
1085,Chairman (President) of Bulgaria,Bulgaria,C,1227609197.0,6.4,EASTERN EUROPE
1086,Dzhevdet Chakarov,Bulgaria,Stub,1245989144.0,6.4,EASTERN EUROPE
1087,Vasil Chichibaba,Bulgaria,Start,1215313341.0,6.4,EASTERN EUROPE
1088,Lea Cohen,Bulgaria,C,1215313537.0,6.4,EASTERN EUROPE
1089,Vladimir Damgov,Bulgaria,Start,1215314052.0,6.4,EASTERN EUROPE
1090,Stanislav Daskalov,Bulgaria,Stub,1236020876.0,6.4,EASTERN EUROPE
1091,Stefan Dimitrov (politician),Bulgaria,Stub,1249080975.0,6.4,EASTERN EUROPE
1092,Ivan Dimov (scientist),Bulgaria,Start,1215314240.0,6.4,EASTERN EUROPE
1093,Valentin Fortunov,Bulgaria,Start,1215314438.0,6.4,EASTERN EUROPE
1094,Tsoncho Ganev,Bulgaria,Stub,1240457984.0,6.4,EASTERN EUROPE
1095,Georgi Gvozdeykov,Bulgaria,Stub,1243679989.0,6.4,EASTERN EUROPE
1096,Goritsa Grancharova,Bulgaria,GA,1244496816.0,6.4,EASTERN EUROPE
1097,Ivancho Hadzhipenchovich,Bulgaria,Start,1215314724.0,6.4,EASTERN EUROPE
1098,Ivan Demerdzhiev,Bulgaria,Stub,1246703703.0,6.4,EASTERN EUROPE
1099,Aleksi Ivanov,Bulgaria,Start,1215314827.0,6.4,EASTERN EUROPE
1100,Grozdan Karadzhov,Bulgaria,Start,1250148087.0,6.4,EASTERN EUROPE
1101,Vladimir Karolev,Bulgaria,Start,1183947838.0,6.4,EASTERN EUROPE
1102,Georgi Kirkov,Bulgaria,Start,1215315466.0,6.4,EASTERN EUROPE
1103,Spiro Kitinchev,Bulgaria,C,1244548670.0,6.4,EASTERN EUROPE
1104,Ivan Kondov,Bulgaria,Stub,1244791314.0,6.4,EASTERN EUROPE
1105,Kostadin Kostadinov (professor),Bulgaria,Start,1215315664.0,6.4,EASTERN EUROPE
1106,Gavril Krastevich,Bulgaria,Stub,1242153020.0,6.4,EASTERN EUROPE
1107,Petar Kulenski,Bulgaria,Stub,1236793256.0,6.4,EASTERN EUROPE
1108,Lazar Lazarov,Bulgaria,Stub,1215860047.0,6.4,EASTERN EUROPE
1109,Nikola Lazarov,Bulgaria,B,1246693713.0,6.4,EASTERN EUROPE
1110,Ivan Marazov,Bulgaria,Stub,1215315878.0,6.4,EASTERN EUROPE
1111,Venko Markovski,Bulgaria,C,1235730767.0,6.4,EASTERN EUROPE
1112,Yakov Matakiev,Bulgaria,Start,1180593616.0,6.4,EASTERN EUROPE
1113,Ilian Mihov,Bulgaria,Start,1243605333.0,6.4,EASTERN EUROPE
1114,Raya Nazaryan,Bulgaria,Stub,1241562603.0,6.4,EASTERN EUROPE
1115,Nikolay Milkov,Bulgaria,Stub,1159601677.0,6.4,EASTERN EUROPE
1116,Plamen Panayotov,Bulgaria,Stub,1133046866.0,6.4,EASTERN EUROPE
1117,Vladislav Panev,Bulgaria,Stub,1236796256.0,6.4,EASTERN EUROPE
1118,Asparuh Panov,Bulgaria,Stub,1022365931.0,6.4,EASTERN EUROPE
1119,Atanas Pekanov,Bulgaria,C,1211256598.0,6.4,EASTERN EUROPE
1120,Sasho Penov,Bulgaria,Stub,1208372103.0,6.4,EASTERN EUROPE
1121,Lyudmila Petkova,Bulgaria,Stub,1240500207.0,6.4,EASTERN EUROPE
1122,Hristo Petrov,Bulgaria,Stub,1242211308.0,6.4,EASTERN EUROPE
1123,Rosen Plevneliev,Bulgaria,C,1243979008.0,6.4,EASTERN EUROPE
1124,Aleksandur Pulev,Bulgaria,Stub,1192998630.0,6.4,EASTERN EUROPE
1125,Denitsa Simeonova,Bulgaria,Stub,1236772129.0,6.4,EASTERN EUROPE
1126,Ivan Stanchov,Bulgaria,Stub,1189228353.0,6.4,EASTERN EUROPE
1127,Kalin Stoyanov,Bulgaria,GA,1250344595.0,6.4,EASTERN EUROPE
1128,Stanislav Stoyanov (politician),Bulgaria,Stub,1245317002.0,6.4,EASTERN EUROPE
1129,Dragomir Stoynev,Bulgaria,Stub,1236777307.0,6.4,EASTERN EUROPE
1130,Teodora Genchovska,Bulgaria,Stub,1217932516.0,6.4,EASTERN EUROPE
1131,Daniel Valchev,Bulgaria,Stub,1227658311.0,6.4,EASTERN EUROPE
1132,Krasimir Valchev,Bulgaria,Stub,1237335760.0,6.4,EASTERN EUROPE
1133,Velko Valkanov,Bulgaria,Stub,1211235525.0,6.4,EASTERN EUROPE
1134,Ventsislav Varbanov,Bulgaria,Stub,1236795881.0,6.4,EASTERN EUROPE
1135,Damyan Velchev,Bulgaria,Start,1241904410.0,6.4,EASTERN EUROPE
1136,Svetoslav Vitkov,Bulgaria,Start,1243474576.0,6.4,EASTERN EUROPE
1137,Mincho Yovchev,Bulgaria,Stub,1101186643.0,6.4,EASTERN EUROPE
1138,Atanas Zafirov,Bulgaria,C,1248790402.0,6.4,EASTERN EUROPE
1139,Martin Zaimov,Bulgaria,Start,1187122509.0,6.4,EASTERN EUROPE
1140,Dragomir Zakov,Bulgaria,Start,1177150880.0,6.4,EASTERN EUROPE
1141,Nayden Zelenogorski,Bulgaria,Stub,1181274805.0,6.4,EASTERN EUROPE
1142,Boureima Badini,Burkina Faso,Start,1188858837.0,22.9,WESTERN AFRICA
1143,Blaise Bassoleth,Burkina Faso,Stub,1194947033.0,22.9,WESTERN AFRICA
1144,Nazi Boni,Burkina Faso,Start,1165935460.0,22.9,WESTERN AFRICA
1145,Eric Bougouma,Burkina Faso,Start,1224650590.0,22.9,WESTERN AFRICA
1146,François Compaoré,Burkina Faso,Start,1231273948.0,22.9,WESTERN AFRICA
1147,Daniel Ouezzin Coulibaly,Burkina Faso,Stub,1240877830.0,22.9,WESTERN AFRICA
1148,Toubé Clément Dakio,Burkina Faso,Stub,1139020686.0,22.9,WESTERN AFRICA
1149,Frédéric Guirma,Burkina Faso,Stub,1196782670.0,22.9,WESTERN AFRICA
1150,Emile Ilboudo,Burkina Faso,Stub,1188858797.0,22.9,WESTERN AFRICA
1151,Zinda Kaboré,Burkina Faso,Stub,1240877157.0,22.9,WESTERN AFRICA
1152,Christophe Kalenzaga,Burkina Faso,Start,1188339738.0,22.9,WESTERN AFRICA
1153,Joséphine Drabo Kanyoulou,Burkina Faso,Stub,1188917017.0,22.9,WESTERN AFRICA
1154,Joséphine Ki-Zerbo,Burkina Faso,Stub,1108677667.0,22.9,WESTERN AFRICA
1155,Begnon-Damien Koné,Burkina Faso,Stub,1177650476.0,22.9,WESTERN AFRICA
1156,Yabre Juliette Kongo,Burkina Faso,Start,1219061952.0,22.9,WESTERN AFRICA
1157,Kouamé Lougué,Burkina Faso,Stub,1188339825.0,22.9,WESTERN AFRICA
1158,Jean-Baptiste Natama,Burkina Faso,Stub,1115090605.0,22.9,WESTERN AFRICA
1159,Jean-Baptiste Ouédraogo,Burkina Faso,FA,1241452397.0,22.9,WESTERN AFRICA
1160,Mamadou Ouédraogo,Burkina Faso,Stub,1186807529.0,22.9,WESTERN AFRICA
1161,Ousmane Bougouma,Burkina Faso,Start,1220964955.0,22.9,WESTERN AFRICA
1162,Pargui Emile Paré,Burkina Faso,Stub,1227770299.0,22.9,WESTERN AFRICA
1163,Filippe Savadogo,Burkina Faso,Stub,1099231025.0,22.9,WESTERN AFRICA
1164,Nouhoun Sigue,Burkina Faso,Stub,1193864167.0,22.9,WESTERN AFRICA
1165,Diongolo Traore,Burkina Faso,Stub,1177650766.0,22.9,WESTERN AFRICA
1166,Maurice Yaméogo,Burkina Faso,FA,1203177077.0,22.9,WESTERN AFRICA
1167,Saye Zerbo,Burkina Faso,Start,1236924018.0,22.9,WESTERN AFRICA
1168,Aung Than Oo,Myanmar,Stub,1226314813.0,55.4,SOUTHEAST ASIA
1169,Aye Ko (artist),Myanmar,Stub,1151370568.0,55.4,SOUTHEAST ASIA
1170,Ba Shin,Myanmar,C,1087648145.0,55.4,SOUTHEAST ASIA
1171,Bao Youxiang,Myanmar,C,1231942275.0,55.4,SOUTHEAST ASIA
1172,Bawk Ja,Myanmar,Start,1210082543.0,55.4,SOUTHEAST ASIA
1173,Cheery Zahau,Myanmar,C,1245373592.0,55.4,SOUTHEAST ASIA
1174,Oscar de Glanville,Myanmar,Start,1216156762.0,55.4,SOUTHEAST ASIA
1175,M. A. Gaffar,Myanmar,C,1189278863.0,55.4,SOUTHEAST ASIA
1176,Han Tha Myint,Myanmar,Start,1177347217.0,55.4,SOUTHEAST ASIA
1177,Hla Maung Shwe,Myanmar,Stub,1144174107.0,55.4,SOUTHEAST ASIA
1178,Hso Khan Pha,Myanmar,C,1210083613.0,55.4,SOUTHEAST ASIA
1179,Nai Htaw Sorn,Myanmar,Start,1210083144.0,55.4,SOUTHEAST ASIA
1180,Htay Aung (businessman),Myanmar,Start,1169933380.0,55.4,SOUTHEAST ASIA
1181,Htin Linn Aung,Myanmar,Start,1245373600.0,55.4,SOUTHEAST ASIA
1182,Ja Htoi Pan,Myanmar,Stub,1250704546.0,55.4,SOUTHEAST ASIA
1183,Khin Kyaw Han,Myanmar,Stub,1036478390.0,55.4,SOUTHEAST ASIA
1184,Khin Ma Ma Myo,Myanmar,Stub,1227269939.0,55.4,SOUTHEAST ASIA
1185,Khin Maung Swe,Myanmar,Start,1234386190.0,55.4,SOUTHEAST ASIA
1186,Khun San Lwin,Myanmar,Stub,1210189937.0,55.4,SOUTHEAST ASIA
1187,Ko Ni,Myanmar,C,1245412082.0,55.4,SOUTHEAST ASIA
1188,Thakin Kodaw Hmaing,Myanmar,C,1221126119.0,55.4,SOUTHEAST ASIA
1189,Kwe Te No,Myanmar,Stub,1207433410.0,55.4,SOUTHEAST ASIA
1190,Sao Kya Seng,Myanmar,C,1250357483.0,55.4,SOUTHEAST ASIA
1191,Kyaw Moe Tun,Myanmar,GA,1203399746.0,55.4,SOUTHEAST ASIA
1192,Kyaw Myint,Myanmar,,,55.4,SOUTHEAST ASIA
1193,Kyaw Tun,Myanmar,C,1246524261.0,55.4,SOUTHEAST ASIA
1194,Kyaw Zaw Oo,Myanmar,C,1227561394.0,55.4,SOUTHEAST ASIA
1195,Duwa Lashi La,Myanmar,C,1250281251.0,55.4,SOUTHEAST ASIA
1196,Lian Hmung Sakhong,Myanmar,Start,1245373615.0,55.4,SOUTHEAST ASIA
1197,Sultan Mahmud (minister),Myanmar,C,1240728343.0,55.4,SOUTHEAST ASIA
1198,Maran Brang Seng,Myanmar,Start,1239820808.0,55.4,SOUTHEAST ASIA
1199,Gani Markan,Myanmar,Stub,1205964987.0,55.4,SOUTHEAST ASIA
1200,Maw Htun Aung,Myanmar,C,1245372940.0,55.4,SOUTHEAST ASIA
1201,"Myint Swe (politician, born 1965)",Myanmar,Stub,1250134288.0,55.4,SOUTHEAST ASIA
1202,Myo Yan Naung Thein,Myanmar,Start,1169934161.0,55.4,SOUTHEAST ASIA
1203,Naw Ohn Hla,Myanmar,C,1245373645.0,55.4,SOUTHEAST ASIA
1204,Nay Myo Wai,Myanmar,Start,1065794809.0,55.4,SOUTHEAST ASIA
1205,Nay Zin Lat,Myanmar,Stub,1140270731.0,55.4,SOUTHEAST ASIA
1206,Kyaw Ni,Myanmar,Stub,1197273116.0,55.4,SOUTHEAST ASIA
1207,Nyi Sein,Myanmar,Stub,1245373470.0,55.4,SOUTHEAST ASIA
1208,Nyo Nyo Thin,Myanmar,Start,1169933560.0,55.4,SOUTHEAST ASIA
1209,Pu Pa Thang,Myanmar,Stub,1248165000.0,55.4,SOUTHEAST ASIA
1210,San Tun,Myanmar,Stub,1245372381.0,55.4,SOUTHEAST ASIA
1211,Sao Sanda,Myanmar,Start,1210083781.0,55.4,SOUTHEAST ASIA
1212,Sasa (politician),Myanmar,C,1245373652.0,55.4,SOUTHEAST ASIA
1213,Saw Sa,Myanmar,C,1087057198.0,55.4,SOUTHEAST ASIA
1214,Saya Gyi U Nu,Myanmar,GA,1235897720.0,55.4,SOUTHEAST ASIA
1215,"Sein Win (politician, born 1944)",Myanmar,Start,1147278693.0,55.4,SOUTHEAST ASIA
1216,Mya Lay Sein,Myanmar,Start,1222232537.0,55.4,SOUTHEAST ASIA
1217,Sao Seng Suk,Myanmar,Stub,1210083818.0,55.4,SOUTHEAST ASIA
1218,Shwe Ohn,Myanmar,Stub,1219791322.0,55.4,SOUTHEAST ASIA
1219,Soe Moe Hlaing,Myanmar,Start,1177185207.0,55.4,SOUTHEAST ASIA
1220,Sultan Ahmed (Burmese politician),Myanmar,Start,1214544169.0,55.4,SOUTHEAST ASIA
1221,Naw Susanna Hla Hla Soe,Myanmar,Start,1245373664.0,55.4,SOUTHEAST ASIA
1222,Tan Yu Sai,Myanmar,Stub,987791661.0,55.4,SOUTHEAST ASIA
1223,Taw Phaya Galay,Myanmar,C,1239004774.0,55.4,SOUTHEAST ASIA
1224,Tayzar San,Myanmar,Start,1227692854.0,55.4,SOUTHEAST ASIA
1225,Than Nyein,Myanmar,Start,1219791544.0,55.4,SOUTHEAST ASIA
1226,Than Sein,Myanmar,Stub,1245372417.0,55.4,SOUTHEAST ASIA
1227,Than Win,Myanmar,Start,1245373365.0,55.4,SOUTHEAST ASIA
1228,Thaung Tun (politician),Myanmar,Start,1245373050.0,55.4,SOUTHEAST ASIA
1229,Baganset U Thaw,Myanmar,C,1245618789.0,55.4,SOUTHEAST ASIA
1230,Thein Maung,Myanmar,Start,1238454181.0,55.4,SOUTHEAST ASIA
1231,Thein Nyunt (politician),Myanmar,Start,1234388263.0,55.4,SOUTHEAST ASIA
1232,Thet Win Aung,Myanmar,Start,1170350688.0,55.4,SOUTHEAST ASIA
1233,Thirty Comrades,Myanmar,C,1242193633.0,55.4,SOUTHEAST ASIA
1234,Tin Aye,Myanmar,Stub,1239526756.0,55.4,SOUTHEAST ASIA
1235,Tu Hkawng,Myanmar,Start,1245373670.0,55.4,SOUTHEAST ASIA
1236,Wai Moe Naing,Myanmar,Start,1142166678.0,55.4,SOUTHEAST ASIA
1237,Win Ko Ko Latt,Myanmar,Start,1243165916.0,55.4,SOUTHEAST ASIA
1238,Maung Wuntha,Myanmar,Start,1192257938.0,55.4,SOUTHEAST ASIA
1239,Yawd Serk,Myanmar,Stub,1250459738.0,55.4,SOUTHEAST ASIA
1240,Za Hlei Thang,Myanmar,C,1250853841.0,55.4,SOUTHEAST ASIA
1241,Zaw Htay,Myanmar,C,1220263916.0,55.4,SOUTHEAST ASIA
1242,Zura Begum,Myanmar,Start,1207585856.0,55.4,SOUTHEAST ASIA
1243,Pierre Baranyanka,Burundi,GA,1227694880.0,13.2,EASTERN AFRICA
1244,Joseph Biroli,Burundi,GA,1244607980.0,13.2,EASTERN AFRICA
1245,Evelyne Butoyi,Burundi,Stub,1226287594.0,13.2,EASTERN AFRICA
1246,Joseph Cimpaye,Burundi,C,1247008320.0,13.2,EASTERN AFRICA
1247,Edouard Nduwimana,Burundi,Stub,1249889245.0,13.2,EASTERN AFRICA
1248,Gervais Nyangoma,Burundi,Start,1172072408.0,13.2,EASTERN AFRICA
1249,Gérard Mfuranzima,Burundi,Start,1059652996.0,13.2,EASTERN AFRICA
1250,Cyrille Ndayirukiye,Burundi,Stub,1235862392.0,13.2,EASTERN AFRICA
1251,Révérien Ndikuriyo,Burundi,Start,1231164333.0,13.2,EASTERN AFRICA
1252,Tharcisse Niyongabo,Burundi,Stub,1218269209.0,13.2,EASTERN AFRICA
1253,Gabriel Nizigama,Burundi,Stub,1193500276.0,13.2,EASTERN AFRICA
1254,Jean-Baptiste Ntidendereza,Burundi,C,1176698590.0,13.2,EASTERN AFRICA
1255,Ririkumutima,Burundi,Start,1233102698.0,13.2,EASTERN AFRICA
1256,Agathon Rwasa,Burundi,Start,1227287425.0,13.2,EASTERN AFRICA
1257,Imelde Sabushimike,Burundi,Start,1243757340.0,13.2,EASTERN AFRICA
1258,Alexis Sinduhije,Burundi,GA,1227751790.0,13.2,EASTERN AFRICA
1259,Ang Vong Vathana,Cambodia,Stub,1242000913.0,17.0,SOUTHEAST ASIA
1260,Samheng Boros,Cambodia,Start,1217047991.0,17.0,SOUTHEAST ASIA
1261,Bun Chanmol,Cambodia,C,1229174400.0,17.0,SOUTHEAST ASIA
1262,Chem Snguon,Cambodia,Stub,1243810904.0,17.0,SOUTHEAST ASIA
1263,Chhan Sokhom,Cambodia,Stub,1243810911.0,17.0,SOUTHEAST ASIA
1264,Chuon Saodi,Cambodia,Stub,1243810923.0,17.0,SOUTHEAST ASIA
1265,Duong Sam Ol,Cambodia,Stub,1250510333.0,17.0,SOUTHEAST ASIA
1266,Ieu Koeus,Cambodia,Start,1234647985.0,17.0,SOUTHEAST ASIA
1267,Ith Samheng,Cambodia,Start,1246668602.0,17.0,SOUTHEAST ASIA
1268,Khem Veasna,Cambodia,C,1210437333.0,17.0,SOUTHEAST ASIA
1269,Kou Roun,Cambodia,Stub,1243810993.0,17.0,SOUTHEAST ASIA
1270,Daran Kravanh,Cambodia,Stub,1096672232.0,17.0,SOUTHEAST ASIA
1271,Lon Nil,Cambodia,Start,1220226778.0,17.0,SOUTHEAST ASIA
1272,Mao Ayuth,Cambodia,C,1171497670.0,17.0,SOUTHEAST ASIA
1273,Neav Sithong,Cambodia,Stub,1243811022.0,17.0,SOUTHEAST ASIA
1274,Ngoun Chhay Kry,Cambodia,Stub,1243811027.0,17.0,SOUTHEAST ASIA
1275,Norodom Norindeth,Cambodia,Start,1220843919.0,17.0,SOUTHEAST ASIA
1276,Norodom Phurissara,Cambodia,Start,1243811051.0,17.0,SOUTHEAST ASIA
1277,Oung Ouen,Cambodia,Stub,1079121769.0,17.0,SOUTHEAST ASIA
1278,Phlek Chhat,Cambodia,Stub,1244202380.0,17.0,SOUTHEAST ASIA
1279,Ponn Vongs Vaddey,Cambodia,Stub,1243811080.0,17.0,SOUTHEAST ASIA
1280,Samheng Bora,Cambodia,Start,1194560189.0,17.0,SOUTHEAST ASIA
1281,Say Phouthang,Cambodia,C,1174776111.0,17.0,SOUTHEAST ASIA
1282,Sisowath Youtevong,Cambodia,Start,1221932398.0,17.0,SOUTHEAST ASIA
1283,So Nem,Cambodia,Stub,1243811102.0,17.0,SOUTHEAST ASIA
1284,Tep Hun,Cambodia,Stub,1243811136.0,17.0,SOUTHEAST ASIA
1285,Tep Phan,Cambodia,Stub,1059565834.0,17.0,SOUTHEAST ASIA
1286,Tep Vattho,Cambodia,Start,1243808497.0,17.0,SOUTHEAST ASIA
1287,Thiounn,Cambodia,GA,1178861440.0,17.0,SOUTHEAST ASIA
1288,Touch Kim,Cambodia,Stub,1243811146.0,17.0,SOUTHEAST ASIA
1289,Truong Cang,Cambodia,Start,1157572449.0,17.0,SOUTHEAST ASIA
1290,Tuot Saron,Cambodia,Start,1171902721.0,17.0,SOUTHEAST ASIA
1291,Uch Ven,Cambodia,Stub,1178094497.0,17.0,SOUTHEAST ASIA
1292,Uk Vithun,Cambodia,Stub,1243811158.0,17.0,SOUTHEAST ASIA
1293,Ung Hong Sath,Cambodia,Stub,1250884183.0,17.0,SOUTHEAST ASIA
1294,Veng Sakhon,Cambodia,Stub,1249720857.0,17.0,SOUTHEAST ASIA
1295,Yat Hwaidi,Cambodia,Stub,1130454039.0,17.0,SOUTHEAST ASIA
1296,Marie Catherine Abena,Cameroon,Start,1241219287.0,28.1,MIDDLE AFRICA
1297,Haman Adama,Cameroon,Stub,1246435409.0,28.1,MIDDLE AFRICA
1298,Vincent de Paul Ahanda,Cameroon,Stub,1249317685.0,28.1,MIDDLE AFRICA
1299,Ahmadou Ahidjo,Cameroon,FA,1250931149.0,28.1,MIDDLE AFRICA
1300,Joseph Beti Assomo,Cameroon,Start,1229939964.0,28.1,MIDDLE AFRICA
1301,Charles Ateba Eyene,Cameroon,Start,1234063279.0,28.1,MIDDLE AFRICA
1302,Olivier Bilé,Cameroon,Stub,1243540290.0,28.1,MIDDLE AFRICA
1303,Dsamou Micheline,Cameroon,Start,1223788177.0,28.1,MIDDLE AFRICA
1304,Lawrence Fonka Shang,Cameroon,Stub,1041211681.0,28.1,MIDDLE AFRICA
1305,Victor Fotso,Cameroon,Stub,1102345166.0,28.1,MIDDLE AFRICA
1306,Séraphin Magloire Fouda,Cameroon,Stub,1009662257.0,28.1,MIDDLE AFRICA
1307,Lucy Gwanmesia,Cameroon,Start,1221349803.0,28.1,MIDDLE AFRICA
1308,Njomgang Isaac,Cameroon,Start,1108440685.0,28.1,MIDDLE AFRICA
1309,René Jam Afane,Cameroon,Start,1231186334.0,28.1,MIDDLE AFRICA
1310,Augustine Ngom Jua,Cameroon,Start,1249031959.0,28.1,MIDDLE AFRICA
1311,Paul Monyonge Kale,Cameroon,Start,1214426931.0,28.1,MIDDLE AFRICA
1312,Enanga Kebbi,Cameroon,Start,1219533774.0,28.1,MIDDLE AFRICA
1313,Pierre Kotouo,Cameroon,Stub,1177650482.0,28.1,MIDDLE AFRICA
1314,Laurentine Mbede,Cameroon,Start,1240148045.0,28.1,MIDDLE AFRICA
1315,Albert Mbida,Cameroon,Stub,1230583945.0,28.1,MIDDLE AFRICA
1316,Ibrahim Mbombo Njoya,Cameroon,Start,1226331859.0,28.1,MIDDLE AFRICA
1317,Clémentine Ananga Messina,Cameroon,Start,1217696496.0,28.1,MIDDLE AFRICA
1318,Ousmane Mey,Cameroon,Start,1017007525.0,28.1,MIDDLE AFRICA
1319,Victor Mukete,Cameroon,Start,1250196607.0,28.1,MIDDLE AFRICA
1320,Bernard Muna,Cameroon,Start,1108720863.0,28.1,MIDDLE AFRICA
1321,Jerôme Mvondo,Cameroon,Stub,1250160956.0,28.1,MIDDLE AFRICA
1322,Anne Marthe Mvoto,Cameroon,Start,1225861548.0,28.1,MIDDLE AFRICA
1323,Hermine Patricia Tomaïno Ndam Njoya,Cameroon,C,1240147077.0,28.1,MIDDLE AFRICA
1324,Pierre Ngayewang,Cameroon,Stub,1177650598.0,28.1,MIDDLE AFRICA
1325,John Ebong Ngole,Cameroon,Stub,1151361877.0,28.1,MIDDLE AFRICA
1326,Xavier Ngoubeyou,Cameroon,Stub,1242530072.0,28.1,MIDDLE AFRICA
1327,Victor Anomah Ngu,Cameroon,Start,1152439979.0,28.1,MIDDLE AFRICA
1328,Julienne Niat,Cameroon,Start,1227015746.0,28.1,MIDDLE AFRICA
1329,Dorothy L. Njeuma,Cameroon,Start,1240137941.0,28.1,MIDDLE AFRICA
1330,Bernard Njonga,Cameroon,Stub,1098278415.0,28.1,MIDDLE AFRICA
